Time,Level,Velocity,Flow,Volume
20-Nov-2024 00:00:00,19.034,0.054,4.6,21190.47
20-Nov-2024 00:05:00,19.292,0.036,3.15,21190.66
20-Nov-2024 00:10:00,19.098,0.026,2.19,21190.79
20-Nov-2024 00:15:00,19.046,0.034,2.83,21190.96
20-Nov-2024 00:20:00,18.814,0.026,2.23,21191.09
20-Nov-2024 00:25:00,18.84,0.06,5.04,21191.39
20-Nov-2024 00:30:00,19.318,0.062,5.46,21191.72
20-Nov-2024 00:35:00,18.826,0.022,1.86,21191.83
20-Nov-2024 00:40:00,18.594,0.02,1.6,21191.93
20-Nov-2024 00:45:00,18.4,0.018,1.44,21192.02
20-Nov-2024 00:50:00,18.308,0.018,1.5,21192.1
20-Nov-2024 00:55:00,18.452,0.02,1.61,21192.2
20-Nov-2024 01:00:00,18.956,0.02,1.67,21192.3
20-Nov-2024 01:05:00,18.478,0.018,1.45,21192.39
20-Nov-2024 01:10:00,18.374,0.018,1.42,21192.47
20-Nov-2024 01:15:00,18.438,0.016,1.25,21192.55
20-Nov-2024 01:20:00,18.542,0.02,1.57,21192.64
20-Nov-2024 01:25:00,18.464,0.02,1.65,21192.74
20-Nov-2024 01:30:00,18.724,0.018,1.43,21192.83
20-Nov-2024 01:35:00,18.218,0.018,1.42,21192.91
20-Nov-2024 01:40:00,17.946,0.016,1.22,21192.99
20-Nov-2024 01:45:00,17.986,0.018,1.38,21193.07
20-Nov-2024 01:50:00,18.038,0.024,1.91,21193.18
20-Nov-2024 01:55:00,18.698,0.022,1.81,21193.29
20-Nov-2024 02:00:00,17.96,0.02,1.59,21193.39
20-Nov-2024 02:05:00,18.594,0.018,1.55,21193.48
20-Nov-2024 02:10:00,17.74,0.018,1.37,21193.56
20-Nov-2024 02:15:00,18.232,0.016,1.34,21193.64
20-Nov-2024 02:20:00,19.138,0.018,1.56,21193.74
20-Nov-2024 02:25:00,17.998,0.02,1.61,21193.83
20-Nov-2024 02:30:00,17.934,0.018,1.42,21193.92
20-Nov-2024 02:35:00,18.464,0.016,1.35,21194
20-Nov-2024 02:40:00,17.882,0.016,1.31,21194.08
20-Nov-2024 02:45:00,17.83,0.016,1.32,21194.16
20-Nov-2024 02:50:00,17.83,0.016,1.26,21194.23
20-Nov-2024 02:55:00,17.752,0.018,1.42,21194.32
20-Nov-2024 03:00:00,17.714,0.016,1.25,21194.39
20-Nov-2024 03:05:00,17.688,0.018,1.32,21194.47
20-Nov-2024 03:10:00,18.218,0.018,1.5,21194.56
20-Nov-2024 03:15:00,17.868,0.016,1.29,21194.64
20-Nov-2024 03:20:00,17.92,0.018,1.38,21194.72
20-Nov-2024 03:25:00,17.908,0.018,1.42,21194.81
20-Nov-2024 03:30:00,17.61,0.016,1.27,21194.88
20-Nov-2024 03:35:00,17.674,0.016,1.21,21194.96
20-Nov-2024 03:40:00,17.688,0.016,1.2,21195.03
20-Nov-2024 03:45:00,17.532,0.016,1.18,21195.1
20-Nov-2024 03:50:00,17.894,0.016,1.29,21195.18
20-Nov-2024 03:55:00,17.7,0.016,1.28,21195.25
20-Nov-2024 04:00:00,17.544,0.016,1.28,21195.33
20-Nov-2024 04:05:00,17.74,0.016,1.31,21195.41
20-Nov-2024 04:10:00,17.816,0.016,1.32,21195.49
20-Nov-2024 04:15:00,18.426,0.018,1.51,21195.58
20-Nov-2024 04:20:00,17.714,0.016,1.26,21195.65
20-Nov-2024 04:25:00,17.79,0.014,1.11,21195.72
20-Nov-2024 04:30:00,17.61,0.016,1.22,21195.79
20-Nov-2024 04:35:00,17.726,0.016,1.31,21195.87
20-Nov-2024 04:40:00,17.454,0.014,1.14,21195.94
20-Nov-2024 04:45:00,17.558,0.016,1.22,21196.01
20-Nov-2024 04:50:00,18.012,0.018,1.42,21196.1
20-Nov-2024 04:55:00,17.752,0.016,1.23,21196.17
20-Nov-2024 05:00:00,17.558,0.014,1.11,21196.24
20-Nov-2024 05:05:00,17.79,0.016,1.19,21196.31
20-Nov-2024 05:10:00,17.908,0.016,1.26,21196.39
20-Nov-2024 05:15:00,18.038,0.016,1.31,21196.47
20-Nov-2024 05:20:00,17.842,0.016,1.26,21196.54
20-Nov-2024 05:25:00,18.4,0.02,1.57,21196.64
20-Nov-2024 05:30:00,18.14,0.02,1.59,21196.73
20-Nov-2024 05:35:00,17.946,0.022,1.77,21196.84
20-Nov-2024 05:40:00,17.726,0.018,1.36,21196.92
20-Nov-2024 05:45:00,17.778,0.018,1.39,21197
20-Nov-2024 05:50:00,18.012,0.018,1.46,21197.09
20-Nov-2024 05:55:00,18.438,0.018,1.43,21197.18
20-Nov-2024 06:00:00,19.086,0.052,4.48,21197.44
20-Nov-2024 06:05:00,18.75,0.022,1.78,21197.55
20-Nov-2024 06:10:00,18.71,0.022,1.91,21197.67
20-Nov-2024 06:15:00,18.58,0.018,1.51,21197.76
20-Nov-2024 06:20:00,18.166,0.016,1.32,21197.84
20-Nov-2024 06:25:00,18.93,0.018,1.57,21197.93
20-Nov-2024 06:30:00,19.228,0.024,2.09,21198.06
20-Nov-2024 06:35:00,19.06,0.03,2.63,21198.21
20-Nov-2024 06:40:00,18.736,0.024,2.05,21198.34
20-Nov-2024 06:45:00,18.814,0.028,2.4,21198.48
20-Nov-2024 06:50:00,18.8,0.026,2.13,21198.61
20-Nov-2024 06:55:00,18.892,0.034,2.8,21198.78
20-Nov-2024 07:00:00,18.75,0.03,2.61,21198.93
20-Nov-2024 07:05:00,18.4,0.02,1.62,21199.03
20-Nov-2024 07:10:00,19.086,0.024,1.98,21199.15
20-Nov-2024 07:15:00,19.034,0.02,1.78,21199.26
20-Nov-2024 07:20:00,19.85,0.03,2.69,21199.42
20-Nov-2024 07:25:00,19.202,0.028,2.4,21199.56
20-Nov-2024 07:30:00,19.448,0.024,2.1,21199.69
20-Nov-2024 07:35:00,18.996,0.02,1.78,21199.79
20-Nov-2024 07:40:00,19.228,0.03,2.68,21199.95
20-Nov-2024 07:45:00,19.682,0.024,2.19,21200.09
20-Nov-2024 07:50:00,19.318,0.022,1.94,21200.2
20-Nov-2024 07:55:00,19.138,0.022,1.83,21200.31
20-Nov-2024 08:00:00,18.996,0.022,1.9,21200.43
20-Nov-2024 08:05:00,20.536,0.028,2.58,21200.58
20-Nov-2024 08:10:00,19.384,0.036,3.24,21200.77
20-Nov-2024 08:15:00,18.956,0.024,2.12,21200.9
20-Nov-2024 08:20:00,19.462,0.022,1.94,21201.02
