Time,Level,Velocity,Flow,Volume
09-Sep-2024 00:00:00,193.068,0.75,36.06,6157.50599999999
09-Sep-2024 00:05:00,220.808,0.816,45.362,6169.34800000003
09-Sep-2024 00:10:00,239.162,0.774,45.042,6182.95800000001
09-Sep-2024 00:15:00,213.834,0.804,43.064,6196.79400000002
09-Sep-2024 00:20:00,266.678,0.786,50.182,6210.84800000003
09-Sep-2024 00:25:00,202.178,0.824,41.712,6224.10400000002
09-Sep-2024 00:30:00,268.466,0.78,48.872,6238.18200000003
09-Sep-2024 00:35:00,231.242,0.86,49.36,6252.212
09-Sep-2024 00:40:00,213.172,0.88,47.224,6267.29000000004
09-Sep-2024 00:45:00,266.198,0.824,52.648,6282.17199999999
09-Sep-2024 00:50:00,227.792,0.834,46.646,6296.78400000001
09-Sep-2024 00:55:00,260.972,0.882,53.906,6312.58199999999
09-Sep-2024 01:00:00,253.414,0.878,54.096,6328.15000000002
09-Sep-2024 01:05:00,224.474,0.948,53.83,6344.67999999999
09-Sep-2024 01:10:00,257.216,0.882,54.148,6361.19000000003
09-Sep-2024 01:15:00,265.73,0.874,53.322,6376.64400000003
09-Sep-2024 01:20:00,227.262,0.986,55.876,6393.70200000002
09-Sep-2024 01:25:00,283.9,0.878,57.174,6410.16600000003
09-Sep-2024 01:30:00,215.646,0.944,51.18,6426.62400000001
09-Sep-2024 01:35:00,279.792,0.924,61.178,6443.82800000004
09-Sep-2024 01:40:00,251.666,0.992,60.528,6461.47000000003
09-Sep-2024 01:45:00,258.408,0.954,57.852,6479.908
09-Sep-2024 01:50:00,249.448,0.988,59.416,6497.03400000001
09-Sep-2024 01:55:00,257.072,0.988,59.636,6515.63400000002
09-Sep-2024 02:00:00,216.088,1.048,57.086,6532.136
09-Sep-2024 02:05:00,250.202,1.016,60.792,6550.76999999999
09-Sep-2024 02:10:00,255.608,1.026,63.894,6569.17200000002
09-Sep-2024 02:15:00,206.262,1.01,52.42,6586.60000000003
09-Sep-2024 02:20:00,234.934,1.006,58.894,6602.94600000003
09-Sep-2024 02:25:00,215.49,1.002,54.368,6619.72000000003
09-Sep-2024 02:30:00,225.316,1.022,57.658,6637.42000000001
09-Sep-2024 02:35:00,204.514,0.972,49.944,6652.788
09-Sep-2024 02:40:00,224.916,1.018,57.562,6669.73000000004
09-Sep-2024 02:45:00,202.698,0.976,49.644,6684.82800000004
09-Sep-2024 02:50:00,223.89,1.036,58.432,6701.57000000001
09-Sep-2024 02:55:00,232.602,0.992,57.236,6717.97200000001
09-Sep-2024 03:00:00,201.622,0.974,49.34,6734.88200000004
09-Sep-2024 03:05:00,205.6,0.976,50.458,6748.90400000004
09-Sep-2024 03:10:00,183.55,0.778,55.295,6765.25599999999
09-Sep-2024 03:15:00,191.876,0.968,46.232,6777.02200000003
09-Sep-2024 03:20:00,228.996,1.016,44.816,6793.91800000001
09-Sep-2024 03:25:00,189.646,0.922,57.007,6808.08000000002
09-Sep-2024 03:30:00,223.824,0.99,44.178,6822.71400000001
09-Sep-2024 03:35:00,193.728,0.93,55.511,6838.00600000002
09-Sep-2024 03:40:00,221.816,0.992,55.452,6854.08000000002
09-Sep-2024 03:45:00,211.796,0.974,51.922,6869.08600000001
09-Sep-2024 03:50:00,193.664,0.922,44.55,6883.508
09-Sep-2024 03:55:00,198.174,0.946,46.808,6897.266
09-Sep-2024 04:00:00,206.498,0.978,50.718,6912.52400000003
09-Sep-2024 04:05:00,221.624,0.97,54.342,6927.97200000001
09-Sep-2024 04:10:00,193.718,0.912,44.056,6942.36800000002
09-Sep-2024 04:15:00,222.102,0.914,51.244,6956.356
09-Sep-2024 04:20:00,200.186,0.938,47.138,6972.07400000002
09-Sep-2024 04:25:00,248.918,1.014,46.664,6988.07600000003
09-Sep-2024 04:30:00,197.18,0.938,46.19,7004.22000000003
09-Sep-2024 04:35:00,242.958,0.952,55.55,7018.74000000005
09-Sep-2024 04:40:00,226.016,0.944,52.878,7036.75400000002
09-Sep-2024 04:45:00,214.312,0.914,48.79,7050.364
09-Sep-2024 04:50:00,229.14,1.026,56.848,7067.49800000002
09-Sep-2024 04:55:00,234.828,1.192,68.08,7085.12200000003
09-Sep-2024 05:00:00,213.534,1.17,62.972,7106.22600000002
09-Sep-2024 05:05:00,202.116,1.142,58.016,7123.29999999999
09-Sep-2024 05:10:00,228.814,1.188,67.964,7143.69800000003
09-Sep-2024 05:15:00,195.688,1.124,69.648,7161.09599999999
09-Sep-2024 05:20:00,230.698,1.232,71.332,7180.96600000001
09-Sep-2024 05:25:00,228.232,1.206,69.476,7201.35800000001
09-Sep-2024 05:30:00,231.628,1.158,66.814,7221.03400000001
09-Sep-2024 05:35:00,200.69,1.156,58.128,7240.44600000003
09-Sep-2024 05:40:00,235.658,1.146,64.922,7257.89000000001
09-Sep-2024 05:45:00,230.772,1.184,67.048,7279.30400000003
