Date,m3t
20-Nov-2024 00:00:00,1.6564917
20-Nov-2024 00:00:00,1.6564917
20-Nov-2024 00:04:47,1.7908791
20-Nov-2024 00:09:35,2.1108791
20-Nov-2024 00:14:24,2.2081357
20-Nov-2024 00:19:11,1.744875
20-Nov-2024 00:23:59,1.5628816
20-Nov-2024 00:28:47,1.4896337
20-Nov-2024 00:33:35,1.7252381
20-Nov-2024 00:38:23,2.132228
20-Nov-2024 00:43:11,1.3817021
20-Nov-2024 00:47:59,1.8925519
20-Nov-2024 00:52:47,1.6656044
20-Nov-2024 00:57:36,1.5636264
20-Nov-2024 01:02:23,1.6504852
20-Nov-2024 01:07:11,1.3946833
20-Nov-2024 01:12:00,1.4204314
20-Nov-2024 01:16:47,1.3553114
20-Nov-2024 01:21:35,1.3553114
20-Nov-2024 01:26:23,1.4031232
20-Nov-2024 01:31:11,1.6022878
20-Nov-2024 01:35:59,1.4611315
20-Nov-2024 01:40:47,1.3940659
20-Nov-2024 01:45:35,1.598022
20-Nov-2024 01:50:23,1.4243044
20-Nov-2024 01:55:12,1.4828524
20-Nov-2024 01:59:59,1.4448514
20-Nov-2024 02:04:47,1.4688645
20-Nov-2024 02:09:35,1.4688645
20-Nov-2024 02:14:23,1.5250434
20-Nov-2024 02:19:11,1.7159309
20-Nov-2024 02:23:59,1.3593814
20-Nov-2024 02:28:47,1.3921245
20-Nov-2024 02:33:35,1.409707
20-Nov-2024 02:38:24,1.4839663
20-Nov-2024 02:43:11,1.4472934
20-Nov-2024 02:47:59,1.4204314
20-Nov-2024 02:52:48,1.3738095
20-Nov-2024 02:57:35,1.3913919
20-Nov-2024 03:02:23,1.3799884
20-Nov-2024 03:07:11,1.3374462
20-Nov-2024 03:11:59,1.4407814
20-Nov-2024 03:16:47,1.6383516
20-Nov-2024 03:21:35,1.3816484
20-Nov-2024 03:26:23,1.3995245
20-Nov-2024 03:31:11,1.4898871
20-Nov-2024 03:36:00,1.3390313
20-Nov-2024 03:40:47,1.3739927
20-Nov-2024 03:45:35,1.4091575
20-Nov-2024 03:50:24,1.5875586
20-Nov-2024 03:55:11,1.3759184
20-Nov-2024 03:59:59,1.3593814
20-Nov-2024 04:04:47,1.3921245
20-Nov-2024 04:09:35,1.409707
20-Nov-2024 04:14:23,1.4002956
20-Nov-2024 04:19:12,1.4101493
20-Nov-2024 04:23:59,1.4000814
20-Nov-2024 04:28:47,1.4150183
20-Nov-2024 04:33:36,1.5205128
20-Nov-2024 04:38:23,1.4863569
20-Nov-2024 04:43:11,1.4654157
20-Nov-2024 04:47:59,1.4611315
20-Nov-2024 04:52:47,1.4102564
20-Nov-2024 04:57:35,1.4102564
20-Nov-2024 05:02:23,1.6752137
20-Nov-2024 05:07:11,1.4131054
20-Nov-2024 05:11:59,1.3797314
20-Nov-2024 05:16:48,1.8713553
20-Nov-2024 05:21:35,1.4775092
20-Nov-2024 05:26:23,1.4213739
20-Nov-2024 05:31:12,1.4103635
20-Nov-2024 05:35:59,1.3593814
20-Nov-2024 05:40:47,2.1947253
20-Nov-2024 05:45:35,2.250989
20-Nov-2024 05:50:23,2.7209048
20-Nov-2024 05:55:11,1.9315811
20-Nov-2024 06:00:00,1.4855515
20-Nov-2024 06:04:47,1.6804762
20-Nov-2024 06:09:35,1.9512454
20-Nov-2024 06:14:24,1.9178716
20-Nov-2024 06:19:11,2.0244971
20-Nov-2024 06:23:59,1.6320716
20-Nov-2024 06:28:47,1.9128938
20-Nov-2024 06:33:35,2.6935531
20-Nov-2024 06:38:23,2.7267142
20-Nov-2024 06:43:11,2.8086541
20-Nov-2024 06:47:59,2.2425722
20-Nov-2024 06:52:47,1.9607692
20-Nov-2024 06:57:36,2.766044
20-Nov-2024 07:02:23,3.1545788
20-Nov-2024 07:07:11,2.7588715
20-Nov-2024 07:12:00,2.9141229
