Date,m3t
09-Sep-2024 00:00:00,1.7273954
09-Sep-2024 00:04:47,1.6769102
09-Sep-2024 00:09:35,1.6468864
09-Sep-2024 00:14:24,1.4914209
09-Sep-2024 00:19:11,1.5513187
09-Sep-2024 00:23:59,1.6560632
09-Sep-2024 00:28:47,1.7127862
09-Sep-2024 00:33:35,2.0312319
09-Sep-2024 00:38:23,1.8387507
09-Sep-2024 00:43:11,1.4584615
09-Sep-2024 00:47:59,1.4343551
09-Sep-2024 00:52:47,1.3905276
09-Sep-2024 00:57:36,1.3984106
09-Sep-2024 01:02:23,1.5594285
09-Sep-2024 01:07:11,1.6467033
09-Sep-2024 01:12:00,1.7389628
09-Sep-2024 01:16:47,1.6930103
09-Sep-2024 01:21:35,1.5149498
09-Sep-2024 01:26:23,1.4760834
09-Sep-2024 01:31:11,1.4289377
09-Sep-2024 01:35:59,1.5191826
09-Sep-2024 01:40:47,1.5111282
09-Sep-2024 01:45:35,1.4289999
09-Sep-2024 01:50:23,1.6103764
09-Sep-2024 01:55:12,1.6123443
09-Sep-2024 01:59:59,1.4459225
09-Sep-2024 02:04:47,1.4599919
09-Sep-2024 02:09:35,1.4625967
09-Sep-2024 02:14:23,1.4144764
09-Sep-2024 02:19:11,1.4285714
09-Sep-2024 02:23:59,1.4343551
09-Sep-2024 02:28:47,1.4437375
09-Sep-2024 02:33:35,1.4136624
09-Sep-2024 02:38:24,1.4728873
09-Sep-2024 02:43:11,1.4976923
09-Sep-2024 02:47:59,1.4054367
09-Sep-2024 02:52:48,1.4033802
09-Sep-2024 02:57:35,1.4245443
09-Sep-2024 03:02:23,1.3967826
09-Sep-2024 03:07:11,1.3915751
09-Sep-2024 03:11:59,1.3861577
09-Sep-2024 03:16:47,1.3928839
09-Sep-2024 03:21:35,1.4245443
09-Sep-2024 03:26:23,1.4060365
09-Sep-2024 03:31:11,1.4098901
09-Sep-2024 03:36:00,1.4054367
09-Sep-2024 03:40:47,1.3856436
09-Sep-2024 03:45:35,1.4906069
09-Sep-2024 03:50:24,1.5091147
09-Sep-2024 03:55:11,1.4016484
09-Sep-2024 03:59:59,1.3572393
09-Sep-2024 04:04:47,1.3557826
09-Sep-2024 04:09:35,1.3766467
09-Sep-2024 04:14:23,1.5136045
09-Sep-2024 04:19:12,1.5962271
09-Sep-2024 04:23:59,1.4478504
09-Sep-2024 04:28:47,1.5686224
09-Sep-2024 04:33:36,1.6088083
09-Sep-2024 04:38:23,1.4144764
09-Sep-2024 04:43:11,1.4303663
09-Sep-2024 04:47:59,1.4574899
09-Sep-2024 04:52:47,1.4313562
09-Sep-2024 04:57:35,1.4390678
09-Sep-2024 05:02:23,1.4853373
09-Sep-2024 05:07:11,1.4777656
09-Sep-2024 05:11:59,1.6097937
09-Sep-2024 05:16:48,1.8669066
09-Sep-2024 05:21:35,1.8803933
09-Sep-2024 05:26:23,1.7489879
09-Sep-2024 05:31:12,1.6537729
09-Sep-2024 05:35:59,1.8083671
09-Sep-2024 05:40:47,2.2078701
09-Sep-2024 05:45:35,2.1268556
09-Sep-2024 05:50:23,1.9806439
09-Sep-2024 05:55:11,1.8862271
09-Sep-2024 06:00:00,1.8045113
09-Sep-2024 06:04:47,2.1551743
09-Sep-2024 06:09:35,2.4860442
09-Sep-2024 06:14:24,2.1954716
09-Sep-2024 06:19:11,1.8747985
09-Sep-2024 06:23:59,1.8295739
09-Sep-2024 06:28:47,2.1843926
09-Sep-2024 06:33:35,2.4432449
09-Sep-2024 06:38:23,2.0360731
09-Sep-2024 06:43:11,2.0257143
09-Sep-2024 06:47:59,2.1168305
09-Sep-2024 06:52:47,2.3356854
09-Sep-2024 06:57:36,2.3476298
09-Sep-2024 07:02:23,2.4161086
09-Sep-2024 07:07:11,3.147033
09-Sep-2024 07:12:00,3.227299
09-Sep-2024 07:16:47,2.9304029
09-Sep-2024 07:21:35,3.0794079
09-Sep-2024 07:26:23,2.6666838
09-Sep-2024 07:31:11,2.3522711
09-Sep-2024 07:35:59,2.4426451
09-Sep-2024 07:40:47,2.4197245
09-Sep-2024 07:45:35,2.5733565
09-Sep-2024 07:50:23,2.4660112
09-Sep-2024 07:55:12,2.2371429
09-Sep-2024 07:59:59,1.9278967
09-Sep-2024 08:04:47,1.5792473
09-Sep-2024 08:09:35,1.4676435
09-Sep-2024 08:14:23,1.7471114
09-Sep-2024 08:19:11,1.8341392
09-Sep-2024 08:23:59,1.7408907
09-Sep-2024 08:28:47,1.7250477
09-Sep-2024 08:33:35,1.5854422
09-Sep-2024 08:38:24,1.528068
09-Sep-2024 08:43:11,1.5170696
09-Sep-2024 08:47:59,1.679198
09-Sep-2024 08:52:48,1.8931431
09-Sep-2024 08:57:35,2.0562689
09-Sep-2024 09:02:23,2.1488079
09-Sep-2024 09:07:11,1.8615385
09-Sep-2024 09:11:59,1.7698091
09-Sep-2024 09:16:47,1.8489814
09-Sep-2024 09:21:35,1.8117944
09-Sep-2024 09:26:23,1.9043335
09-Sep-2024 09:31:11,2.2827839
09-Sep-2024 09:36:00,2.5583189
09-Sep-2024 09:40:47,2.4660112
09-Sep-2024 09:45:35,2.1246364
09-Sep-2024 09:50:24,1.8100036
09-Sep-2024 09:55:11,1.8581319
09-Sep-2024 09:59:59,1.9548872
09-Sep-2024 10:04:47,1.988047
09-Sep-2024 10:09:35,1.9023199
09-Sep-2024 10:14:23,2.028173
09-Sep-2024 10:19:12,1.9198168
09-Sep-2024 10:23:59,1.6579911
09-Sep-2024 10:28:47,1.8671979
09-Sep-2024 10:33:36,2.0133496
09-Sep-2024 10:38:23,1.9855879
09-Sep-2024 10:43:11,1.8292674
09-Sep-2024 10:47:59,1.679198
09-Sep-2024 10:52:47,1.7249791
09-Sep-2024 10:57:35,2.0423195
09-Sep-2024 11:02:23,2.2144421
09-Sep-2024 11:07:11,2.1795971
09-Sep-2024 11:11:59,2.4368614
09-Sep-2024 11:16:48,2.3951674
09-Sep-2024 11:21:35,2.0005741
09-Sep-2024 11:26:23,1.7914359
09-Sep-2024 11:31:12,1.8367766
09-Sep-2024 11:35:59,1.9838057
09-Sep-2024 11:40:47,2.2607202
09-Sep-2024 11:45:35,2.3774308
09-Sep-2024 11:50:23,1.9684082
09-Sep-2024 11:55:11,1.7157143
09-Sep-2024 12:00:00,1.7293233
09-Sep-2024 12:04:47,1.9858878
09-Sep-2024 12:09:35,2.1725596
09-Sep-2024 12:14:24,1.8949425
09-Sep-2024 12:19:11,1.9853846
09-Sep-2024 12:23:59,2.2961249
09-Sep-2024 12:28:47,1.9957072
09-Sep-2024 12:33:35,1.7313969
09-Sep-2024 12:38:23,1.7165906
09-Sep-2024 12:43:11,1.6995971
09-Sep-2024 12:47:59,1.6483516
09-Sep-2024 12:52:47,1.6512906
09-Sep-2024 12:57:36,1.7551486
09-Sep-2024 13:02:23,1.7921642
09-Sep-2024 13:07:11,1.8113553
09-Sep-2024 13:12:00,1.8295739
09-Sep-2024 13:16:47,1.7561339
09-Sep-2024 13:21:35,1.6992224
09-Sep-2024 13:26:23,1.9675856
09-Sep-2024 13:31:11,2.0679487
09-Sep-2024 13:35:59,2.0744168
09-Sep-2024 13:40:47,2.1112953
09-Sep-2024 13:45:35,2.136298
09-Sep-2024 13:50:23,1.9364137
09-Sep-2024 13:55:12,1.7829304
09-Sep-2024 13:59:59,2.1168305
09-Sep-2024 14:04:47,2.4738684
09-Sep-2024 14:09:35,2.2883448
09-Sep-2024 14:14:23,1.8182465
09-Sep-2024 14:19:11,1.7583883
09-Sep-2024 14:23:59,1.791016
09-Sep-2024 14:28:47,1.660913
09-Sep-2024 14:33:35,1.8798106
09-Sep-2024 14:38:24,2.172234
09-Sep-2024 14:43:11,2.0108791
09-Sep-2024 14:47:59,1.7775207
09-Sep-2024 14:52:48,1.8095667
09-Sep-2024 14:57:35,1.8190348
09-Sep-2024 15:02:23,1.8393934
09-Sep-2024 15:07:11,1.6449084
09-Sep-2024 15:11:59,1.6155774
09-Sep-2024 15:16:47,1.7334447
09-Sep-2024 15:21:35,1.7062571
09-Sep-2024 15:26:23,1.9949789
09-Sep-2024 15:31:11,2.3007692
09-Sep-2024 15:36:00,2.1958743
09-Sep-2024 15:40:47,2.0967119
09-Sep-2024 15:45:35,2.77151
09-Sep-2024 15:50:24,2.9750959
09-Sep-2024 15:55:11,2.4482418
09-Sep-2024 15:59:59,2.1978022
09-Sep-2024 16:04:47,2.1793458
09-Sep-2024 16:09:35,2.8754622
09-Sep-2024 16:14:23,3.2863355
09-Sep-2024 16:19:12,3.2223077
09-Sep-2024 16:23:59,2.9573935
09-Sep-2024 16:28:47,2.6401559
09-Sep-2024 16:33:36,2.8538697
09-Sep-2024 16:38:23,2.9112439
09-Sep-2024 16:43:11,2.7881685
09-Sep-2024 16:47:59,2.9246192
09-Sep-2024 16:52:47,2.9017587
09-Sep-2024 16:57:35,2.7290534
09-Sep-2024 17:02:23,2.7605167
09-Sep-2024 17:07:11,2.5995238
09-Sep-2024 17:11:59,2.8764218
09-Sep-2024 17:16:48,3.0546195
09-Sep-2024 17:21:35,3.2488143
09-Sep-2024 17:26:23,3.2321573
09-Sep-2024 17:31:12,2.6433333
09-Sep-2024 17:35:59,2.8089454
09-Sep-2024 17:40:47,2.6686117
09-Sep-2024 17:45:35,2.4872523
09-Sep-2024 17:50:23,2.920335
09-Sep-2024 17:55:11,2.7132234
09-Sep-2024 18:00:00,2.3616734
09-Sep-2024 18:04:47,2.315044
09-Sep-2024 18:09:35,2.3291477
09-Sep-2024 18:14:24,2.9787717
09-Sep-2024 18:19:11,3.4214286
09-Sep-2024 18:23:59,2.8205128
09-Sep-2024 18:28:47,2.2270377
09-Sep-2024 18:33:35,2.2082214
09-Sep-2024 18:38:23,2.4007026
09-Sep-2024 18:43:11,3.1376557
09-Sep-2024 18:47:59,3.8827839
09-Sep-2024 18:52:47,3.3825418
09-Sep-2024 18:57:36,2.8149776
09-Sep-2024 19:02:23,2.7279909
09-Sep-2024 19:07:11,2.7100733
09-Sep-2024 19:12:00,3.2022364
09-Sep-2024 19:16:47,3.7058544
09-Sep-2024 19:21:35,3.6665853
09-Sep-2024 19:26:23,3.002155
09-Sep-2024 19:31:11,2.2261172
09-Sep-2024 19:35:59,2.760748
09-Sep-2024 19:40:47,3.4736671
09-Sep-2024 19:45:35,3.5130047
09-Sep-2024 19:50:23,2.987383
09-Sep-2024 19:55:12,2.6312088
09-Sep-2024 19:59:59,2.7318296
09-Sep-2024 20:04:47,2.9174903
09-Sep-2024 20:09:35,2.9872459
09-Sep-2024 20:14:23,3.3425958
09-Sep-2024 20:19:11,3.1139194
09-Sep-2024 20:23:59,2.4657798
09-Sep-2024 20:28:47,3.3488936
09-Sep-2024 20:33:35,3.897076
09-Sep-2024 20:38:24,3.7156995
09-Sep-2024 20:43:11,3.661978
09-Sep-2024 20:47:59,3.20802
09-Sep-2024 20:52:48,2.9880685
09-Sep-2024 20:57:35,3.4892788
09-Sep-2024 21:02:23,3.5577576
09-Sep-2024 21:07:11,3.1830403
09-Sep-2024 21:11:59,2.8590708
09-Sep-2024 21:16:47,2.7742262
