Time,Level,Velocity,FlowDifference,Volume
09-Sep-2024 00:00:00,30.65,0.152,0.478,63.36
09-Sep-2024 00:05:00,29.988,0.156,0.48,63.5
09-Sep-2024 00:10:00,30.688,0.19,0.61,63.662
09-Sep-2024 00:15:00,30.612,0.19,0.6,63.83
09-Sep-2024 00:20:00,29.56,0.18,0.552,64.012
09-Sep-2024 00:25:00,28.168,0.168,0.49,64.178
09-Sep-2024 00:30:00,30.532,0.182,0.6,64.338
09-Sep-2024 00:35:00,31.57,0.27,0.932,64.552
09-Sep-2024 00:40:00,29.208,0.168,0.502,64.78
09-Sep-2024 00:45:00,26.2,0.156,0.416,64.922
09-Sep-2024 00:50:00,28.456,0.196,0.6,65.066
09-Sep-2024 00:55:00,25.924,0.148,0.392,65.212
09-Sep-2024 01:00:00,27.884,0.23,0.696,65.39
09-Sep-2024 01:05:00,25.46,0.194,0.544,65.582
09-Sep-2024 01:10:00,23.98,0.132,0.32,65.698
09-Sep-2024 01:15:00,25.51,0.138,0.374,65.818
09-Sep-2024 01:20:00,25.862,0.156,0.43,65.91
09-Sep-2024 01:25:00,25.81,0.132,0.366,66.028
09-Sep-2024 01:30:00,24.862,0.136,0.362,66.13
09-Sep-2024 01:35:00,23.486,0.124,0.292,66.228
09-Sep-2024 01:40:00,22.928,0.12,0.292,66.312
09-Sep-2024 01:45:00,23.562,0.146,0.378,66.41
09-Sep-2024 01:50:00,22.746,0.098,0.23,66.53
09-Sep-2024 01:55:00,23.082,0.11,0.256,66.606
09-Sep-2024 02:00:00,22.268,0.108,0.24,66.674
09-Sep-2024 02:05:00,22.408,0.11,0.254,66.738
09-Sep-2024 02:10:00,24.188,0.126,0.348,66.818
09-Sep-2024 02:15:00,18.646,0.072,0.104,66.898
09-Sep-2024 02:20:00,23.032,0.118,0.296,66.984
09-Sep-2024 02:25:00,22.706,0.112,0.268,67.042
09-Sep-2024 02:30:00,23.044,0.118,0.266,67.116
09-Sep-2024 02:35:00,19.438,0.086,0.138,67.186
09-Sep-2024 02:40:00,20.262,0.096,0.3325,67.256
09-Sep-2024 02:45:00,20.864,0.106,0.258,67.306
09-Sep-2024 02:50:00,21.722,0.092,0.188,67.4
09-Sep-2024 02:55:00,24.604,0.128,0.33,67.458
09-Sep-2024 03:00:00,20.1,0.092,0.152,67.54
09-Sep-2024 03:05:00,24.848,0.136,0.352,67.632
09-Sep-2024 03:10:00,22.198,0.11,0.264,67.694
09-Sep-2024 03:15:00,20.41,0.092,0.154,67.772
09-Sep-2024 03:20:00,25.626,0.17,0.478,67.904
09-Sep-2024 03:25:00,25.252,0.134,0.358,68.006
09-Sep-2024 03:30:00,26.082,0.154,0.44,68.13
09-Sep-2024 03:35:00,24.536,0.124,0.314,68.228
