Time,Flow1,Flow2,FlowDifferenceRaw,FlowDifference
20-Nov-2024 00:00:00,0.012,0.28,0.268,0.19
20-Nov-2024 00:05:00,0.01,0.2,0.19,0.19
20-Nov-2024 00:10:00,0.002,0.25,0.248,0.19
20-Nov-2024 00:15:00,0,0.32,0.32,0.19
20-Nov-2024 00:20:00,0.094,0.31,0.216,0.19
20-Nov-2024 00:25:00,0,0.42,0.42,0.216
20-Nov-2024 00:30:00,0,0.42,0.42,0.216
20-Nov-2024 00:35:00,0,0.55,0.55,0.216
20-Nov-2024 00:40:00,0,0.45,0.45,0.372
20-Nov-2024 00:45:00,0.088,0.46,0.372,0.228
20-Nov-2024 00:50:00,0.028,0.41,0.382,0.228
20-Nov-2024 00:55:00,0.072,0.3,0.228,0.146
20-Nov-2024 01:00:00,0.014,0.4,0.386,0.146
20-Nov-2024 01:05:00,0.074,0.22,0.146,0.146
20-Nov-2024 01:10:00,0.142,0.66,0.518,0.146
20-Nov-2024 01:15:00,0.122,1.47,1.348,0.146
20-Nov-2024 01:20:00,0.014,0.45,0.436,0.146
20-Nov-2024 01:25:00,0.16,0.37,0.21,0.21
20-Nov-2024 01:30:00,0.024,0.73,0.706,0.21
20-Nov-2024 01:35:00,0.002,0.33,0.328,0.17
20-Nov-2024 01:40:00,0,0.25,0.25,0.17
20-Nov-2024 01:45:00,0,0.17,0.17,0.17
20-Nov-2024 01:50:00,0,0.18,0.18,0.13
20-Nov-2024 01:55:00,0,0.2,0.2,0.13
20-Nov-2024 02:00:00,0.04,0.17,0.13,0.13
20-Nov-2024 02:05:00,0.004,0.26,0.256,0.13
20-Nov-2024 02:10:00,0,0.26,0.26,0.13
20-Nov-2024 02:15:00,0,0.24,0.24,0.13
20-Nov-2024 02:20:00,0,0.19,0.19,0.15
20-Nov-2024 02:25:00,0,0.17,0.17,0.15
20-Nov-2024 02:30:00,0,0.15,0.15,0.11
20-Nov-2024 02:35:00,0,0.19,0.19,0.11
20-Nov-2024 02:40:00,0.08,0.19,0.11,0.11
20-Nov-2024 02:45:00,0,0.55,0.55,0.11
20-Nov-2024 02:50:00,0,0.21,0.21,0.08
20-Nov-2024 02:55:00,0,0.18,0.18,0.08
20-Nov-2024 03:00:00,0,0.08,0.08,0.08
20-Nov-2024 03:05:00,0.114,0.2,0.086,0.08
20-Nov-2024 03:10:00,0.004,0.32,0.316,0.08
20-Nov-2024 03:15:00,0,0.14,0.14,0.08
20-Nov-2024 03:20:00,0,0.24,0.24,0.086
20-Nov-2024 03:25:00,0,0.2,0.2,0.1
20-Nov-2024 03:30:00,0,0.12,0.12,0.046
20-Nov-2024 03:35:00,0,0.1,0.1,0.046
20-Nov-2024 03:40:00,0.054,0.1,0.046,0.046
20-Nov-2024 03:45:00,0.004,0.23,0.226,0.046
20-Nov-2024 03:50:00,0,0.14,0.14,0.046
20-Nov-2024 03:55:00,0.02,0.14,0.12,0.046
20-Nov-2024 04:00:00,0.01,0.13,0.12,0.12
20-Nov-2024 04:05:00,0.008,0.18,0.172,0.12
20-Nov-2024 04:10:00,0,0.19,0.19,0.12
20-Nov-2024 04:15:00,0,0.25,0.25,0.12
20-Nov-2024 04:20:00,0.046,0.89,0.844,0.172
20-Nov-2024 04:25:00,0.006,0.69,0.684,0.16
20-Nov-2024 04:30:00,0.008,0.25,0.242,0.14
20-Nov-2024 04:35:00,0,0.16,0.16,0.14
20-Nov-2024 04:40:00,0,0.14,0.14,0.104
20-Nov-2024 04:45:00,0.004,0.58,0.576,0.104
20-Nov-2024 04:50:00,0.136,0.24,0.104,0.104
20-Nov-2024 04:55:00,0.014,1.42,1.406,0.104
20-Nov-2024 05:00:00,0.008,0.28,0.272,0.104
20-Nov-2024 05:05:00,0,0.41,0.41,0.104
20-Nov-2024 05:10:00,0,0.3,0.3,0.15
20-Nov-2024 05:15:00,0,0.15,0.15,0.15
20-Nov-2024 05:20:00,0.082,0.57,0.488,0.15
20-Nov-2024 05:25:00,0.01,1.39,1.38,0.15
20-Nov-2024 05:30:00,0.215,0.78,0.565,0.15
20-Nov-2024 05:35:00,0.012,0.57,0.558,0.488
20-Nov-2024 05:40:00,0.01,1.36,1.35,0.52
20-Nov-2024 05:45:00,0.01,0.53,0.52,0.52
20-Nov-2024 05:50:00,0.186,1.5,1.314,0.264
20-Nov-2024 05:55:00,0.02,0.59,0.57,0.264
20-Nov-2024 06:00:00,0.096,0.36,0.264,0.264
20-Nov-2024 06:05:00,0.134,1.03,0.896,0.264
20-Nov-2024 06:10:00,0.124,0.79,0.666,0.264
20-Nov-2024 06:15:00,0.046,1.43,1.384,0.264
20-Nov-2024 06:20:00,0.018,0.65,0.632,0.462
20-Nov-2024 06:25:00,0.06,0.66,0.6,0.462
20-Nov-2024 06:30:00,0.038,0.5,0.462,0.462
20-Nov-2024 06:35:00,0.104,1.01,0.906,0.462
20-Nov-2024 06:40:00,0.024,1.2,1.176,0.29
20-Nov-2024 06:45:00,0.116,0.76,0.644,0.29
20-Nov-2024 06:50:00,0.05,0.34,0.29,0.138
20-Nov-2024 06:55:00,0.086,0.56,0.474,0.138
20-Nov-2024 07:00:00,0.542,0.68,0.138,0.138
20-Nov-2024 07:05:00,0.1,1.07,0.97,0.138
20-Nov-2024 07:10:00,0.262,0.54,0.278,0.138
20-Nov-2024 07:15:00,0.104,1.65,1.546,0.138
20-Nov-2024 07:20:00,0.086,1.1,1.014,0.278
20-Nov-2024 07:25:00,0.054,0.46,0.406,0.278
20-Nov-2024 07:30:00,0.18,1.35,1.17,0.292
20-Nov-2024 07:35:00,0.064,0.78,0.716,0.292
20-Nov-2024 07:40:00,0.048,0.34,0.292,0.292
20-Nov-2024 07:45:00,0.074,0.7,0.626,0.292
20-Nov-2024 07:50:00,0.026,1.22,1.194,0.292
20-Nov-2024 07:55:00,0.014,0.55,0.536,0.292
20-Nov-2024 08:00:00,0.092,0.72,0.628,0.158
20-Nov-2024 08:05:00,0.024,0.98,0.956,0.158
20-Nov-2024 08:10:00,0.232,0.39,0.158,0.158
20-Nov-2024 08:15:00,0.108,1.91,1.802,0.158
20-Nov-2024 08:20:00,0.126,0.59,0.464,0.158
20-Nov-2024 08:25:00,0.03,0.64,0.61,0.158
20-Nov-2024 08:30:00,0.038,0.22,0.182,0.182
20-Nov-2024 08:35:00,0.136,0.72,0.584,0.182
20-Nov-2024 08:40:00,0.044,0.9,0.856,0.182
20-Nov-2024 08:45:00,0.14,0.43,0.29,0.182
20-Nov-2024 08:50:00,0.0625,1.68,1.6175,0.29
20-Nov-2024 08:55:00,0.024,0.43,0.406,0.29
20-Nov-2024 09:00:00,0.142,0.55,0.408,0.29
20-Nov-2024 09:05:00,0.014,0.59,0.576,0.264
20-Nov-2024 09:10:00,0.032,0.34,0.308,0.198
20-Nov-2024 09:15:00,0.176,0.44,0.264,0.198
20-Nov-2024 09:20:00,0.482,0.68,0.198,0.198
