Time,FlowA,FlowB,FlowC,FlowDifferenceRaw,FlowDifference
20-Nov-2024 00:00:00,10.81,4.6,1.01,7.5,7.1
20-Nov-2024 00:05:00,12.15,3.15,1.2,9.375,6.705
20-Nov-2024 00:10:00,10.71,2.19,1.09,8.525,6.705
20-Nov-2024 00:15:00,9.12,2.83,1,6.705,6.11
20-Nov-2024 00:20:00,11.59,2.23,0.98,9.495,6.11
20-Nov-2024 00:25:00,9.77,5.04,1.14,6.11,6.11
20-Nov-2024 00:30:00,9.9,5.46,0.88,6.29,6.11
20-Nov-2024 00:35:00,11.46,1.86,1.29,9.24,5.85
20-Nov-2024 00:40:00,9.48,1.6,1.24,7.44,5.7
20-Nov-2024 00:45:00,7.53,1.44,0.96,5.85,5.445
20-Nov-2024 00:50:00,7.34,1.5,0.89,5.7,5.065
20-Nov-2024 00:55:00,7.01,1.61,0.76,5.445,5.065
20-Nov-2024 01:00:00,6.66,1.67,0.76,5.065,5.065
20-Nov-2024 01:05:00,7.64,1.45,0.97,5.945,5.065
20-Nov-2024 01:10:00,6.79,1.42,0.68,5.4,5.065
20-Nov-2024 01:15:00,8.87,1.25,0.72,7.525,5.065
20-Nov-2024 01:20:00,6.67,1.57,0.78,5.105,5.015
20-Nov-2024 01:25:00,7.7,1.65,0.79,6.085,5.015
20-Nov-2024 01:30:00,6.56,1.43,0.83,5.015,5.015
20-Nov-2024 01:35:00,6.85,1.42,0.84,5.3,4.85
20-Nov-2024 01:40:00,7.26,1.22,0.64,6.01,3.835
20-Nov-2024 01:45:00,6.11,1.38,0.57,4.85,3.835
20-Nov-2024 01:50:00,5.51,1.91,0.72,3.835,3.835
20-Nov-2024 01:55:00,6.79,1.81,0.56,5.325,3.835
20-Nov-2024 02:00:00,10.37,1.59,0.58,8.995,3.835
20-Nov-2024 02:05:00,10.29,1.55,0.99,8.525,3.835
20-Nov-2024 02:10:00,8.61,1.37,0.7,7.225,5.325
20-Nov-2024 02:15:00,7.76,1.34,0.55,6.54,6.34
20-Nov-2024 02:20:00,7.77,1.56,0.65,6.34,6.34
20-Nov-2024 02:25:00,8.35,1.61,0.64,6.905,6.34
20-Nov-2024 02:30:00,8.09,1.42,0.93,6.45,6.235
20-Nov-2024 02:35:00,8.01,1.35,0.53,6.805,5.37
20-Nov-2024 02:40:00,7.42,1.31,0.53,6.235,5.36
20-Nov-2024 02:45:00,6.54,1.32,0.51,5.37,4.87
20-Nov-2024 02:50:00,6.44,1.26,0.45,5.36,4.87
20-Nov-2024 02:55:00,6.04,1.42,0.46,4.87,4.74
20-Nov-2024 03:00:00,6.47,1.25,0.8,5.045,4.74
20-Nov-2024 03:05:00,6.01,1.32,0.61,4.74,4.74
20-Nov-2024 03:10:00,6.34,1.5,0.62,4.97,4.2
20-Nov-2024 03:15:00,6.42,1.29,0.66,5.115,3.41
20-Nov-2024 03:20:00,5.54,1.38,0.65,4.2,3.355
20-Nov-2024 03:25:00,4.67,1.42,0.55,3.41,3.355
20-Nov-2024 03:30:00,4.5,1.27,0.51,3.355,3.355
20-Nov-2024 03:35:00,6.58,1.21,0.57,5.405,3.355
20-Nov-2024 03:40:00,6.36,1.2,0.63,5.13,3.355
20-Nov-2024 03:45:00,5.93,1.18,0.51,4.83,3.355
20-Nov-2024 03:50:00,6.17,1.29,0.59,4.935,4.09
20-Nov-2024 03:55:00,5.76,1.28,0.7,4.42,4.065
20-Nov-2024 04:00:00,5.23,1.28,0.5,4.09,3.82
20-Nov-2024 04:05:00,5.28,1.31,0.56,4.065,3.82
20-Nov-2024 04:10:00,5.06,1.32,0.58,3.82,3.82
20-Nov-2024 04:15:00,5.98,1.51,0.76,4.465,3.82
20-Nov-2024 04:20:00,7.44,1.26,0.68,6.13,3.82
20-Nov-2024 04:25:00,5.88,1.11,0.49,4.835,3.82
20-Nov-2024 04:30:00,7.24,1.22,0.57,6.06,4.135
20-Nov-2024 04:35:00,5.41,1.31,0.62,4.135,4.135
20-Nov-2024 04:40:00,5.58,1.14,0.53,4.48,4.135
20-Nov-2024 04:45:00,5.96,1.22,0.45,4.9,4.135
20-Nov-2024 04:50:00,5.38,1.42,0.42,4.25,4.065
20-Nov-2024 04:55:00,6.03,1.23,0.61,4.805,4.065
20-Nov-2024 05:00:00,5.14,1.11,0.52,4.065,4.065
20-Nov-2024 05:05:00,5.43,1.19,0.47,4.365,4.065
20-Nov-2024 05:10:00,5.45,1.26,0.53,4.29,4.065
20-Nov-2024 05:15:00,5.5,1.31,0.51,4.335,4.065
20-Nov-2024 05:20:00,5.63,1.26,0.9,4.1,4.1
20-Nov-2024 05:25:00,8.75,1.57,0.85,7.115,4.1
20-Nov-2024 05:30:00,10.06,1.59,1.04,8.225,4.1
20-Nov-2024 05:35:00,6.95,1.77,0.58,5.485,4.1
20-Nov-2024 05:40:00,8.99,1.36,1.25,7.06,5.405
