Time,FlowA,FlowB,FlowC,FlowDifferenceRaw,FlowDifference
09-Sep-2024 00:00:00,1.87,4.69,6.93,-7.405,-8.475
09-Sep-2024 00:05:00,1.6,4.06,7.5,-7.93,-8.475
09-Sep-2024 00:10:00,1.76,6.57,6.95,-8.475,-8.95
09-Sep-2024 00:15:00,1.91,5.33,6.93,-7.685,-10.62
09-Sep-2024 00:20:00,2.76,8.58,7.42,-8.95,-10.62
09-Sep-2024 00:25:00,4.62,15.32,7.58,-10.62,-10.62
09-Sep-2024 00:30:00,6,15.69,7.31,-9.155,-10.62
09-Sep-2024 00:35:00,9.43,15.86,6.61,-5.11,-10.62
09-Sep-2024 00:40:00,11.63,20.82,6.73,-5.51,-10.62
09-Sep-2024 00:45:00,13.77,20.46,6.87,-3.33,-9.155
09-Sep-2024 00:50:00,17.32,25.82,6.32,-1.91,-5.51
09-Sep-2024 00:55:00,18.77,27.6,6.48,-1.51,-5.51
09-Sep-2024 01:00:00,26.89,31.44,6.56,4.61,-3.33
09-Sep-2024 01:05:00,31.34,33.3,5.83,8.86,-1.91
09-Sep-2024 01:10:00,30.48,36.5,5.22,7.01,-1.51
09-Sep-2024 01:15:00,35.72,35.3,5.08,12.99,4.61
09-Sep-2024 01:20:00,35.65,33.65,5.09,13.735,7.01
09-Sep-2024 01:25:00,31.36,35.03,4.94,8.905,7.01
09-Sep-2024 01:30:00,35.14,36.67,4.57,12.235,8.905
09-Sep-2024 01:35:00,36.76,37.46,3.88,14.15,8.905
09-Sep-2024 01:40:00,33.84,37.19,3.65,11.595,8.905
09-Sep-2024 01:45:00,33.48,37.15,3.87,11.035,7.815
09-Sep-2024 01:50:00,33.25,37.99,3.73,10.525,7.815
09-Sep-2024 01:55:00,30.18,37.61,3.56,7.815,7.815
09-Sep-2024 02:00:00,30.82,38.64,3.31,8.19,7.815
09-Sep-2024 02:05:00,31.92,39.36,3.31,8.93,7.815
09-Sep-2024 02:10:00,35.24,37.94,3.49,12.78,7.815
09-Sep-2024 02:15:00,35.06,38.65,3.51,12.225,8.19
09-Sep-2024 02:20:00,33.81,39.14,3.34,10.9,8.93
09-Sep-2024 02:25:00,34.73,40.29,3.19,11.395,9.195
09-Sep-2024 02:30:00,33.14,40.33,3.15,9.825,9.195
09-Sep-2024 02:35:00,32.72,39.75,3.65,9.195,6.43
09-Sep-2024 02:40:00,33.65,40.33,3.71,9.775,6.43
09-Sep-2024 02:45:00,29.35,38.8,3.52,6.43,6.43
09-Sep-2024 02:50:00,33.45,38.61,3.9,10.245,6.43
09-Sep-2024 02:55:00,34.27,38.32,3.57,11.54,6.43
09-Sep-2024 03:00:00,35.09,40.01,3.7,11.385,6.43
09-Sep-2024 03:05:00,36.34,38.41,3.54,13.595,10.245
09-Sep-2024 03:10:00,39.78,38.57,4.06,16.435,10.2
09-Sep-2024 03:15:00,33.95,37.6,4.17,10.98,10.2
09-Sep-2024 03:20:00,33.08,38.28,3.74,10.2,10.2
09-Sep-2024 03:25:00,35.46,37.82,3.93,12.62,10.2
09-Sep-2024 03:30:00,38.8,38.03,4.18,15.605,10.2
09-Sep-2024 03:35:00,34.2,36.76,4.23,11.59,10.2
09-Sep-2024 03:40:00,39.97,36.69,4.43,17.195,11.59
09-Sep-2024 03:45:00,36.51,37.57,4.23,13.495,11.59
09-Sep-2024 03:50:00,37.59,38.32,4.7,13.73,11.59
