Time,Flow1,Flow2,FlowDifferenceRaw,FlowDifference
09-Sep-2024 00:00:00,8.29,36.06,27.77,27.77
09-Sep-2024 00:05:00,7.43,45.362,37.932,25.454
09-Sep-2024 00:10:00,7.75,45.042,37.292,15.692
09-Sep-2024 00:15:00,17.61,43.064,25.454,11.492
09-Sep-2024 00:20:00,34.49,50.182,15.692,11.492
09-Sep-2024 00:25:00,30.22,41.712,11.492,11.492
09-Sep-2024 00:30:00,27.66,48.872,21.212,11.492
09-Sep-2024 00:35:00,29.41,49.36,19.95,11.492
09-Sep-2024 00:40:00,35.125,47.224,12.099,11.406
09-Sep-2024 00:45:00,40.84,52.648,11.808,-8.09400000000001
09-Sep-2024 00:50:00,35.24,46.646,11.406,-8.09400000000001
09-Sep-2024 00:55:00,62,53.906,-8.09400000000001,-8.09400000000001
09-Sep-2024 01:00:00,62,54.096,-7.904,-14.652
09-Sep-2024 01:05:00,58.4,53.83,-4.57,-21.388
09-Sep-2024 01:10:00,68.8,54.148,-14.652,-21.388
09-Sep-2024 01:15:00,74.71,53.322,-21.388,-21.388
09-Sep-2024 01:20:00,70.07,55.876,-14.194,-23.26
09-Sep-2024 01:25:00,69.57,57.174,-12.396,-23.26
09-Sep-2024 01:30:00,74.44,51.18,-23.26,-23.26
09-Sep-2024 01:35:00,81.11,61.178,-19.932,-23.26
09-Sep-2024 01:40:00,74.22,60.528,-13.692,-23.26
09-Sep-2024 01:45:00,75.82,57.852,-17.968,-23.26
09-Sep-2024 01:50:00,81.45,59.416,-22.034,-29.464
09-Sep-2024 01:55:00,81.11,59.636,-21.474,-29.464
09-Sep-2024 02:00:00,86.55,57.086,-29.464,-29.464
09-Sep-2024 02:05:00,90.05,60.792,-29.258,-38.95
09-Sep-2024 02:10:00,82.34,63.894,-18.446,-38.95
09-Sep-2024 02:15:00,91.37,52.42,-38.95,-42.312
09-Sep-2024 02:20:00,93.72,58.894,-34.826,-42.312
09-Sep-2024 02:25:00,96.68,54.368,-42.312,-44.816
